1GMH-E-F	1.0
1GMH-E-G	1.0
1YPH-A-C	1.0
1YPH-A-E	1.0
1HJA-A-B	1.0
1HJA-A-C	1.0
1AFQ-A-B	1.0
1AFQ-A-C	1.0
1AB9-A-B	1.0
1AB9-A-C	1.0
1GGD-A-B	1.0
1GGD-A-C	1.0
1CHO-E-F	1.0
1CHO-E-G	1.0
1VGC-A-B	1.0
1VGC-A-C	1.0
1GG6-A-B	1.0
1GG6-A-C	1.0
2P8O-A-B	1.0
2P8O-A-C	1.0
2VGC-A-B	1.0
2VGC-A-C	1.0
2GMT-A-B	1.0
2GMT-A-C	1.0
3VGC-A-B	1.0
3VGC-A-C	1.0
4CHA-E-F	1.0
4CHA-E-G	1.0
4VGC-A-B	1.0
4VGC-A-C	1.0
5R4C-A-B	1.0
5R4C-A-C	1.0
5R4D-A-B	1.0
5R4D-A-C	1.0
5R44-A-B	1.0
5R44-A-C	1.0
5R46-A-B	1.0
5R46-A-C	1.0
5R48-A-B	1.0
5R48-A-C	1.0
5R42-A-B	1.0
5R42-A-C	1.0
5R4B-A-B	1.0
5R4B-A-C	1.0
5R47-A-B	1.0
5R47-A-C	1.0
5R45-A-B	1.0
5R45-A-C	1.0
5R49-A-B	1.0
5R49-A-C	1.0
5R43-A-B	1.0
5R43-A-C	1.0
5R4A-A-B	1.0
5R4A-A-C	1.0
1DOW-B-A	0.82
1XMO-V-M	0.08
1HNW-V-M	0.08
1IBK-V-M	0.08
1HNX-V-M	0.08
1N32-V-M	0.08
1N36-V-M	0.08
1HR0-V-M	0.08
1XMQ-V-M	0.08
1IBM-V-M	0.08
1N33-V-M	0.08
1J5E-V-M	0.08
1N34-V-M	0.08
1XNQ-V-M	0.08
1IBL-V-M	0.08
1XNR-V-M	0.08
1FJG-V-M	0.08
1HNZ-V-M	0.08
2ZM6-V-M	0.08
2E5L-V-M	0.08
2HHH-U-M	0.08
3OTO-U-M	0.08
3T1Y-V-M	0.08
3T1H-V-M	0.08
4DV3-U-M	0.08
4JI6-U-M	0.08
