1GMH-E-F	HYDROLASE(SERINE PROTEINASE)
1GMH-E-G	HYDROLASE(SERINE PROTEINASE)
1YPH-A-C	HYDROLASE
1YPH-A-E	HYDROLASE
1HJA-A-B	COMPLEX (HYDROLASE/INHIBITOR)
1HJA-A-C	COMPLEX (HYDROLASE/INHIBITOR)
1AFQ-A-B	HYDROLASE/HYDROLASE INHIBITOR
1AFQ-A-C	HYDROLASE/HYDROLASE INHIBITOR
1AB9-A-B	COMPLEX (SERINE PROTEASE/PEPTIDE)
1AB9-A-C	COMPLEX (SERINE PROTEASE/PEPTIDE)
1GGD-A-B	HYDROLASE/HYDROLASE INHIBITOR
1GGD-A-C	HYDROLASE/HYDROLASE INHIBITOR
1CHO-E-F	HYDROLASE/HYDROLASE INHIBITOR
1CHO-E-G	HYDROLASE/HYDROLASE INHIBITOR
1VGC-A-B	SERINE PROTEASE
1VGC-A-C	SERINE PROTEASE
1GG6-A-B	HYDROLASE/HYDROLASE INHIBITOR
1GG6-A-C	HYDROLASE/HYDROLASE INHIBITOR
2P8O-A-B	HYDROLASE
2P8O-A-C	HYDROLASE
2VGC-A-B	SERINE PROTEASE
2VGC-A-C	SERINE PROTEASE
2GMT-A-B	HYDROLASE(SERINE PROTEINASE)
2GMT-A-C	HYDROLASE(SERINE PROTEINASE)
3VGC-A-B	SERINE PROTEASE
3VGC-A-C	SERINE PROTEASE
4CHA-E-F	HYDROLASE (SERINE PROTEINASE)
4CHA-E-G	HYDROLASE (SERINE PROTEINASE)
4VGC-A-B	SERINE PROTEASE
4VGC-A-C	SERINE PROTEASE
5R4C-A-B	HYDROLASE
5R4C-A-C	HYDROLASE
5R4D-A-B	HYDROLASE
5R4D-A-C	HYDROLASE
5R44-A-B	HYDROLASE
5R44-A-C	HYDROLASE
5R46-A-B	HYDROLASE
5R46-A-C	HYDROLASE
5R48-A-B	HYDROLASE
5R48-A-C	HYDROLASE
5R42-A-B	HYDROLASE
5R42-A-C	HYDROLASE
5R4B-A-B	HYDROLASE
5R4B-A-C	HYDROLASE
5R47-A-B	HYDROLASE
5R47-A-C	HYDROLASE
5R45-A-B	HYDROLASE
5R45-A-C	HYDROLASE
5R49-A-B	HYDROLASE
5R49-A-C	HYDROLASE
5R43-A-B	HYDROLASE
5R43-A-C	HYDROLASE
5R4A-A-B	HYDROLASE
5R4A-A-C	HYDROLASE
1DOW-B-A	CELL ADHESION
1XMO-V-M	RIBOSOME
1HNW-V-M	RIBOSOME
1IBK-V-M	RIBOSOME
1HNX-V-M	RIBOSOME
1N32-V-M	RIBOSOME
1N36-V-M	RIBOSOME
1HR0-V-M	RIBOSOME
1XMQ-V-M	RIBOSOME
1IBM-V-M	RIBOSOME
1N33-V-M	RIBOSOME
1J5E-V-M	RIBOSOME
1N34-V-M	RIBOSOME
1XNQ-V-M	RIBOSOME
1IBL-V-M	RIBOSOME
1XNR-V-M	RIBOSOME
1FJG-V-M	RIBOSOME
1HNZ-V-M	RIBOSOME
2ZM6-V-M	RIBOSOME
2E5L-V-M	RIBOSOME
2HHH-U-M	RIBOSOME
3OTO-U-M	RIBOSOME
3T1Y-V-M	Ribosome/Antibiotic
3T1H-V-M	Ribosome/Antibiotic
4DV3-U-M	RIBOSOME/ANTIBIOTIC
4JI6-U-M	RIBOSOME
4JI5-U-M	Ribosome/Antibiotic
4JI3-U-M	RIBOSOME
4DV1-U-M	RIBOSOME/ANTIBIOTIC
4JI4-U-M	Ribosome/Antibiotic
4DUZ-U-M	RIBOSOME/ANTIBIOTIC
4NXM-U-M	RIBOSOME
4JI8-U-M	Ribosome/Antibiotic
4JI7-U-M	RIBOSOME
4JYA-U-M	RIBOSOME
4AQY-V-M	RIBOSOME
4YHH-V-M	RIBOSOME
4DV6-U-M	RIBOSOME
4DUY-U-M	RIBOSOME
4YY3-V-M	RIBOSOME
4GKK-V-M	RIBOSOME/ANTIBIOTIC
4DV5-U-M	RIBOSOME/ANTIBIOTIC
4DV4-U-M	RIBOSOME
4DR1-U-M	RIBOSOME
4KVB-U-M	RIBOSOME
4NXN-U-M	RIBOSOME/ANTIBIOTIC
4V4I-v-n	RIBOSOME
4JI2-U-M	RIBOSOME
4DV7-U-M	RIBOSOME/ANTIBIOTIC
4DV2-U-M	RIBOSOME
4JV5-U-M	RIBOSOME
4JI0-U-M	RIBOSOME
4OX9-V-M	RIBOSOME/ANTIBIOTIC
4GKJ-V-M	RIBOSOME/ANTIBIOTIC
4DR3-U-M	RIBOSOME/ANTIBIOTIC
4DV0-U-M	RIBOSOME
4V4J-v-n	RIBOSOME
4KHP-U-M	RIBOSOME/ANTIBIOTIC
4JI1-U-M	Ribosome/Antibiotic
5LMT-V-M	RIBOSOME
5LMS-V-M	RIBOSOME
5WNQ-U-M	RIBOSOME
5LMR-V-G	RIBOSOME
5LMR-V-M	RIBOSOME
5LMO-V-M	RIBOSOME
5LMP-V-M	RIBOSOME
5WNR-U-M	RIBOSOME
5IMQ-Y-Q	RIBOSOME
5IWA-V-M	TRANSLATION
5WNS-U-M	RIBOSOME
5LMV-V-M	RIBOSOME
5LMN-V-M	RIBOSOME
5IMR-Y-Q	RIBOSOME
5LMU-V-M	RIBOSOME
5LMQ-V-M	RIBOSOME
6CAQ-U-M	RIBOSOME
6MPI-V-M	RIBOSOME
6CAP-U-M	RIBOSOME
6CAS-U-M	RIBOSOME
6CAR-U-M	RIBOSOME
6MKN-V-M	RIBOSOME
6MPF-V-M	RIBOSOME
6DTI-V-M	RIBOSOME
7DUK-U-M	RIBOSOME
7V2O-V-M	RIBOSOME
7V2N-V-M	RIBOSOME
7DUJ-U-M	RIBOSOME
7V2Q-V-M	RIBOSOME
7V2P-V-M	RIBOSOME
7DUI-U-M	RIBOSOME
7DUG-U-M	RIBOSOME
7DUH-U-M	RIBOSOME
7V2M-V-M	RIBOSOME
7V2L-V-M	RIBOSOME
7DUL-U-M	RIBOSOME
8WRC-U-M	RIBOSOME
1QKA-B-A	PROTEIN TRANSPORT
1TH1-C-A	-
1TH1-D-B	-
1UF2-K-A	VIRUS
1FZG-M-B	BLOOD COAGULATION
1FZG-S-C	BLOOD COAGULATION
1FZG-N-E	BLOOD COAGULATION
1FZG-T-F	BLOOD COAGULATION
1N73-I-B	BLOOD CLOTTING
1N73-G-C	BLOOD CLOTTING
1N73-J-E	BLOOD CLOTTING
1N73-H-F	BLOOD CLOTTING
1LWU-M-B	BLOOD CLOTTING
1LWU-N-E	BLOOD CLOTTING
1LWU-O-H	BLOOD CLOTTING
1LWU-P-H	BLOOD CLOTTING
1LWU-P-K	BLOOD CLOTTING
1FZC-I-B	BLOOD COAGULATION
1FZC-J-E	BLOOD COAGULATION
1M1J-I-B	BLOOD CLOTTING
1M1J-J-E	BLOOD CLOTTING
1FZF-M-B	BLOOD COAGULATION
1FZF-S-C	BLOOD COAGULATION
1FZF-N-E	BLOOD COAGULATION
1FZF-T-F	BLOOD COAGULATION
